year,state,state_po,Parish,,FIPS,office,candidate,party,candidatevotes,totalvotes,version,
2016,South Carolina,SC,Abbeville County,,45001,President,Donald Trump,republican,6763,10775,20191203,
2016,Louisiana,LA,Acadia Parish,,22001,President,Donald Trump,republican,21162,27389,20191203,
2016,Virginia,VA,Accomack County,,51001,President,Donald Trump,republican,8583,15818,20191203,
2016,Idaho,ID,Ada County,,16001,President,Donald Trump,republican,93752,195669,20191203,
2016,Iowa,IA,Adair County,,19001,President,Donald Trump,republican,2461,3811,20191203,
2016,Kentucky,KY,Adair County,,21001,President,Donald Trump,republican,6637,8233,20191203,
2016,Missouri,MO,Adair County,,29001,President,Donald Trump,republican,6030,10226,20191203,
2016,Oklahoma,OK,Adair County,,40001,President,Donald Trump,republican,4787,6513,20191203,
2016,Colorado,CO,Adams County,,8001,President,Hillary Clinton,democrat,96558,193665,20191203,
2016,Idaho,ID,Adams County,,16003,President,Donald Trump,republican,1556,2183,20191203,
2016,Illinois,IL,Adams County,,17001,President,Donald Trump,republican,22790,31951,20191203,
2016,Indiana,IN,Adams County,,18001,President,Donald Trump,republican,9648,13090,20191203,
2016,Iowa,IA,Adams County,,19003,President,Donald Trump,republican,1395,2106,20191203,
2016,Mississippi,MS,Adams County,,28001,President,Hillary Clinton,democrat,7757,13836,20191203,
2016,Nebraska,NE,Adams County,,31001,President,Donald Trump,republican,9287,13513,20191203,
2016,North Dakota,ND,Adams County,,38001,President,Donald Trump,republican,909,1218,20191203,
2016,Ohio,OH,Adams County,,39001,President,Donald Trump,republican,8659,11359,20191203,
2016,Pennsylvania,PA,Adams County,,42001,President,Donald Trump,republican,31423,47489,20191203,
2016,Washington,WA,Adams County,,53001,President,Donald Trump,republican,3083,4644,20191203,
2016,Wisconsin,WI,Adams County,,55001,President,Donald Trump,republican,5983,10164,20191203,
2016,Vermont,VT,Addison County,,50001,President,Hillary Clinton,democrat,11219,19031,20191203,
2016,South Carolina,SC,Aiken County,,45003,President,Donald Trump,republican,46025,74851,20191203,
2016,Minnesota,MN,Aitkin County,,27001,President,Donald Trump,republican,5516,9231,20191203,
2016,Florida,FL,Alachua County,,12001,President,Hillary Clinton,democrat,75820,128571,20191203,
2016,North Carolina,NC,Alamance County,,37001,President,Donald Trump,republican,38815,71157,20191203,
2016,California,CA,Alameda County,,6001,President,Hillary Clinton,democrat,514842,654266,20191203,
2016,Colorado,CO,Alamosa County,,8003,President,Hillary Clinton,democrat,3189,6939,20191203,
2016,New York,NY,Albany County,,36001,President,Hillary Clinton,democrat,83077,139830,20191203,
2016,Wyoming,WY,Albany County,,56001,President,Donald Trump,republican,7602,17060,20191203,
2016,Virginia,VA,Albemarle County,,51003,President,Hillary Clinton,democrat,33345,56726,20191203,
2016,Michigan,MI,Alcona County,,26001,President,Donald Trump,republican,4201,6198,20191203,
2016,Mississippi,MS,Alcorn County,,28003,President,Donald Trump,republican,11819,14783,20191203,
2016,Illinois,IL,Alexander County,,17003,President,Donald Trump,republican,1496,2846,20191203,
2016,North Carolina,NC,Alexander County,,37003,President,Donald Trump,republican,13893,18271,20191203,
2016,Virginia,VA,Alexandria city,,51510,President,Hillary Clinton,democrat,57242,75770,20191203,
2016,Oklahoma,OK,Alfalfa County,,40003,President,Donald Trump,republican,1933,2258,20191203,
2016,Michigan,MI,Alger County,,26003,President,Donald Trump,republican,2585,4518,20191203,
2016,Iowa,IA,Allamakee County,,19005,President,Donald Trump,republican,4093,6923,20191203,
2016,Michigan,MI,Allegan County,,26005,President,Donald Trump,republican,34183,55786,20191203,
2016,Maryland,MD,Allegany County,,24001,President,Donald Trump,republican,21270,30654,20191203,
2016,New York,NY,Allegany County,,36003,President,Donald Trump,republican,12525,18692,20191203,
2016,North Carolina,NC,Alleghany County,,37005,President,Donald Trump,republican,3814,5315,20191203,
2016,Virginia,VA,Alleghany County,,51005,President,Donald Trump,republican,4874,7325,20191203,
2016,Pennsylvania,PA,Allegheny County,,42003,President,Hillary Clinton,democrat,367617,650114,20191203,
2016,Indiana,IN,Allen County,,18003,President,Donald Trump,republican,83930,147137,20191203,
2016,Kansas,KS,Allen County,,20001,President,Donald Trump,republican,3651,5454,20191203,
2016,Kentucky,KY,Allen County,,21003,President,Donald Trump,republican,6466,8096,20191203,
2016,Louisiana,LA,Allen Parish,,22003,President,Donald Trump,republican,6867,9245,20191203,
2016,Ohio,OH,Allen County,,39003,President,Donald Trump,republican,30487,45894,20191203,
2016,South Carolina,SC,Allendale County,,45005,President,Hillary Clinton,democrat,2735,3592,20191203,
2016,Michigan,MI,Alpena County,,26007,President,Donald Trump,republican,9090,14698,20191203,
2016,California,CA,Alpine County,,6003,President,Hillary Clinton,democrat,334,602,20191203,
2016,California,CA,Amador County,,6005,President,Donald Trump,republican,10485,17734,20191203,
2016,Virginia,VA,Amelia County,,51007,President,Donald Trump,republican,4708,7040,20191203,
2016,Virginia,VA,Amherst County,,51009,President,Donald Trump,republican,9719,15396,20191203,
2016,Mississippi,MS,Amite County,,28005,President,Donald Trump,republican,4289,7050,20191203,
2016,Kansas,KS,Anderson County,,20003,President,Donald Trump,republican,2435,3350,20191203,
