state,num20tracts,num10tracts
Alabama,1436,1181
Alaska,177,167
Arizona,1764,1526
Arkansas,823,686
California,9116,8057
Colorado,1447,1249
Connecticut,872,833
Delaware,259,218
District of Columbia,206,179
Florida,5097,4245
Georgia,2798,1969
Hawaii,441,351
Idaho,457,298
Illinois,3262,3123
Indiana,1692,1511
Iowa,896,825
Kansas,829,770
Kentucky,1305,1115
Louisiana,1387,1148
Maine,402,358
Maryland,1466,1406
Massachusetts,1604,1478
Michigan,2973,2813
Minnesota,1502,1338
Mississippi,875,664
Missouri,1653,1393
Montana,319,271
Nebraska,552,532
Nevada,779,687
New Hampshire,350,295
New Jersey,2173,2010
New Mexico,595,499
New York,5391,4919
North Carolina,2652,2195
North Dakota,229,205
Ohio,3164,2952
Oklahoma,1203,1046
Oregon,994,834
Pennsylvania,3444,3218
Puerto Rico,945,244
Rhode Island,259,1103
South Carolina,1312,222
South Dakota,241,1497
Tennessee,1700,5265
Texas,6823,588
Utah,710,184
Vermont,194,1907
Virginia,2184,1458
Washington,1767,484
West Virginia,546,1409
Wisconsin,1529,132
Wyoming,160,73057
