zipcode,state,total_population,total_properties,fema_properties_at_risk_2020_total,fema_properties_at_risk_2020_pct,fs_properties_at_risk_2020_total,fs_properties_at_risk_2020_pct,fs_properties_at_risk_2035_total,fs_properties_at_risk_2035_pct,fs_properties_at_risk_2050_total,fs_properties_at_risk_2050_pct,fs_fema_difference_2020_total,fs_fema_difference_2020_pct,gisjoin,year,name_e,white_pop,black_pop,white_pct,black_pct
93635,ca,40759,15047,361,2.4,10935,72.7,10991,73,11047,73.4,10574,2929.1,G93635,2014-2018,ZCTA5 93635,25441,697,62.41811624426507,1.7100517677077456
33993,fl,24856,37515,15318,40.8,25817,68.8,28924,77.1,32030,85.4,10499,68.5,G33993,2014-2018,ZCTA5 33993,22203,1522,89.32652075957515,6.123270035403927
33990,fl,32901,15278,2194,14.4,11711,76.7,13066,85.5,14421,94.4,9517,433.8,G33990,2014-2018,ZCTA5 33990,29575,1824,89.89088477553874,5.543904440594511
77459,tx,69546,32962,387,1.2,9624,29.2,9750,29.6,9877,30,9237,2386.8,G77459,2014-2018,ZCTA5 77459,31154,17813,44.79624996405257,25.613263163949043
33952,fl,33662,17625,5657,32.1,14885,84.5,15718,89.2,16550,93.9,9228,163.1,G33952,2014-2018,ZCTA5 33952,27871,3452,82.79662527479057,10.254886815994297
70360,la,29215,12724,1066,8.4,9669,76,9710,76.3,9751,76.6,8603,807,G70360,2014-2018,ZCTA5 70360,22400,4378,76.67294198185863,14.985452678418621
34287,fl,27532,17127,3138,18.3,11652,68,13380,78.1,15108,88.2,8514,271.3,G34287,2014-2018,ZCTA5 34287,24689,1648,89.67383408397501,5.985762022373965
77083,tx,79996,20031,953,4.8,9460,47.2,9552,47.7,9643,48.1,8507,892.7,G77083,2014-2018,ZCTA5 77083,27072,24315,33.84169208460423,30.395269763488173
32937,fl,27126,10642,127,1.2,8552,80.4,8890,83.5,9227,86.7,8425,6633.9,G32937,2014-2018,ZCTA5 32937,25135,724,92.66017842660179,2.6690260266902603
60618,il,94395,19832,45,0.2,8401,42.4,8622,43.5,8843,44.6,8356,18568.9,G60618,2014-2018,ZCTA5 60618,74352,2270,78.76688383918639,2.4047883892155304
32137,fl,43813,30065,3407,11.3,11405,37.9,13086,43.5,14766,49.1,7998,234.8,G32137,2014-2018,ZCTA5 32137,37240,3330,84.99760345103051,7.600483874649076
33948,fl,16361,17506,9052,51.7,17046,97.4,17046,97.4,17047,97.4,7994,88.3,G33948,2014-2018,ZCTA5 33948,14408,1173,88.06307682904468,7.169488417578387
78542,tx,75569,24578,1282,5.2,9209,37.5,9368,38.1,9526,38.8,7927,618.3,G78542,2014-2018,ZCTA5 78542,68278,911,90.35186385951911,1.2055207823313792
33991,fl,22354,13494,4683,34.7,12205,90.4,12711,94.2,13217,97.9,7522,160.6,G33991,2014-2018,ZCTA5 33991,20601,852,92.15800304196117,3.811398407443858
92262,ca,28517,16105,129,0.8,7586,47.1,7610,47.3,7635,47.4,7457,5780.6,G92262,2014-2018,ZCTA5 92262,23330,1457,81.81084966861872,5.109233089034611
33974,fl,17119,33619,0,0,7366,21.9,7636,22.7,7905,23.5,7366,Inf,G33974,2014-2018,ZCTA5 33974,12599,3132,73.59658858578187,18.295461183480345
33611,fl,31791,13549,5785,42.7,13038,96.2,13085,96.6,13132,96.9,7253,125.4,G33611,2014-2018,ZCTA5 33611,26115,2108,82.14589034632444,6.630807461231166
33953,fl,6885,19334,10767,55.7,17770,91.9,17771,91.9,17772,91.9,7003,65,G33953,2014-2018,ZCTA5 33953,6518,148,94.66957153231662,2.14960058097313
78541,tx,44680,16341,1625,9.9,8623,52.8,8672,53.1,8722,53.4,6998,430.6,G78541,2014-2018,ZCTA5 78541,40901,524,91.54207699194271,1.1727842435094002
32952,fl,20732,9285,1157,12.5,8120,87.5,8250,88.9,8379,90.2,6963,601.8,G32952,2014-2018,ZCTA5 32952,19366,288,93.41115184256222,1.3891568589619911
95380,ca,42672,11424,17,0.1,6715,58.8,7001,61.3,7287,63.8,6698,39400,G95380,2014-2018,ZCTA5 95380,33106,681,77.5824896887889,1.5958942632170978
33904,fl,31859,15874,9207,58,15862,99.9,15866,99.9,15870,100,6655,72.3,G33904,2014-2018,ZCTA5 33904,30045,788,94.30616152421608,2.473398411751781
93726,ca,43209,9669,35,0.4,6351,65.7,6470,66.9,6589,68.1,6316,18045.7,G93726,2014-2018,ZCTA5 93726,25251,3972,58.439214052627925,9.192529334166492
60632,il,91039,18173,1,0,6309,34.7,7236,39.8,8162,44.9,6308,630800,G60632,2014-2018,ZCTA5 60632,47114,1690,51.75144718197696,1.8563472797372556
97209,or,17585,11946,7,0.1,6313,52.8,6809,57,7305,61.2,6306,90085.7,G97209,2014-2018,ZCTA5 97209,14638,788,83.2413989195337,4.481091839636053
32953,fl,24181,9723,855,8.8,7157,73.6,7484,77,7811,80.3,6302,737.1,G32953,2014-2018,ZCTA5 32953,21225,1576,87.7755262396096,6.517513750465241
33914,fl,37375,25000,18709,74.8,24833,99.3,24845,99.4,24857,99.4,6124,32.7,G33914,2014-2018,ZCTA5 33914,33354,1667,89.24147157190636,4.460200668896321
33418,fl,40225,18306,336,1.8,6457,35.3,6912,37.8,7366,40.2,6121,1821.7,G33418,2014-2018,ZCTA5 33418,34911,2466,86.78931013051584,6.130515848353014
34953,fl,69685,33629,739,2.2,6833,20.3,7184,21.4,7534,22.4,6094,824.6,G34953,2014-2018,ZCTA5 34953,47464,17034,68.11221927244027,24.444284996771184
78574,tx,62040,19814,758,3.8,6621,33.4,6692,33.8,6764,34.1,5863,773.5,G78574,2014-2018,ZCTA5 78574,59060,156,95.1966473243069,0.2514506769825919
77511,tx,46869,22187,4967,22.4,10779,48.6,10946,49.3,11114,50.1,5812,117,G77511,2014-2018,ZCTA5 77511,43211,979,92.19526766092727,2.0888006998229107
77498,tx,51505,16256,385,2.4,6167,37.9,6228,38.3,6289,38.7,5782,1501.8,G77498,2014-2018,ZCTA5 77498,22814,9316,44.2947286671197,18.08756431414426
33971,fl,27255,24632,90,0.4,5854,23.8,6026,24.5,6199,25.2,5764,6404.4,G33971,2014-2018,ZCTA5 33971,17955,7227,65.87782058337919,26.51623555310952
33981,fl,10729,27688,21088,76.2,26834,96.9,26863,97,26892,97.1,5746,27.2,G33981,2014-2018,ZCTA5 33981,10327,129,96.25314567993289,1.2023487743498928
70128,la,19500,6064,207,3.4,5912,97.5,5926,97.7,5940,98,5705,2756,G70128,2014-2018,ZCTA5 70128,445,17451,2.282051282051282,89.49230769230769
33467,fl,53339,17208,40,0.2,5725,33.3,6036,35.1,6348,36.9,5685,14212.5,G33467,2014-2018,ZCTA5 33467,44829,4425,84.04544517145054,8.295993550685239
25177,wv,23228,15139,1664,11,7330,48.4,7338,48.5,7347,48.5,5666,340.5,G25177,2014-2018,ZCTA5 25177,21925,602,94.3903909075254,2.591699672808679
95350,ca,53098,17346,5,0,5646,32.5,5844,33.7,6041,34.8,5641,112820,G95350,2014-2018,ZCTA5 95350,39951,2286,75.24012203849486,4.305246901954876
93257,ca,76923,22720,1251,5.5,6773,29.8,6970,30.7,7166,31.5,5522,441.4,G93257,2014-2018,ZCTA5 93257,58653,542,76.24897624897625,0.7046007046007046
71913,ar,47060,27086,1742,6.4,7262,26.8,7272,26.8,7283,26.9,5520,316.9,G71913,2014-2018,ZCTA5 71913,40363,3551,85.76923076923077,7.545686357841054
95355,ca,59028,17490,25,0.1,5538,31.7,5586,31.9,5635,32.2,5513,22052,G95355,2014-2018,ZCTA5 95355,43769,3176,74.14955614284746,5.380497391068645
33935,fl,21968,21313,3152,14.8,8649,40.6,8980,42.1,9311,43.7,5497,174.4,G33935,2014-2018,ZCTA5 33935,19277,891,87.75036416605973,4.0558994901675165
95382,ca,38343,11151,0,0,5408,48.5,5638,50.6,5869,52.6,5408,Inf,G95382,2014-2018,ZCTA5 95382,29137,1086,75.99040242025924,2.8323292387137156
34224,fl,15913,15315,6345,41.4,11747,76.7,12646,82.6,13546,88.4,5402,85.1,G34224,2014-2018,ZCTA5 34224,15256,0,95.87130019480928,0
31520,ga,23474,10435,1917,18.4,7300,70,8307,79.6,9314,89.3,5383,280.8,G31520,2014-2018,ZCTA5 31520,10019,11819,42.68126437760927,50.34932265485218
33414,fl,61301,19350,680,3.5,6044,31.2,6432,33.2,6820,35.2,5364,788.8,G33414,2014-2018,ZCTA5 33414,48154,8398,78.55336780802924,13.6996133831422
97402,or,51489,18338,1045,5.7,6380,34.8,6478,35.3,6576,35.9,5335,510.5,G97402,2014-2018,ZCTA5 97402,42468,1149,82.47975295694226,2.231544601759599
70363,la,25335,9879,4213,42.6,9386,95,9387,95,9388,95,5173,122.8,G70363,2014-2018,ZCTA5 70363,14692,6932,57.990921649891455,27.36135780540754
78586,tx,56284,24139,2385,9.9,7529,31.2,7600,31.5,7670,31.8,5144,215.7,G78586,2014-2018,ZCTA5 78586,52656,88,93.55411839954516,0.1563499395920688
78550,tx,52216,20524,584,2.8,5630,27.4,5714,27.8,5797,28.2,5046,864,G78550,2014-2018,ZCTA5 78550,47752,454,91.45089627700322,0.8694652979929524
70127,la,25278,9634,1028,10.7,6042,62.7,7359,76.4,8676,90.1,5014,487.7,G70127,2014-2018,ZCTA5 70127,609,23912,2.4092095893662475,94.5960914629322
77573,tx,86926,33762,5085,15.1,10095,29.9,15196,45,20296,60.1,5010,98.5,G77573,2014-2018,ZCTA5 77573,70952,6349,81.62344983089065,7.303913673699468
77407,tx,51142,24003,150,0.6,5157,21.5,5233,21.8,5309,22.1,5007,3338,G77407,2014-2018,ZCTA5 77407,21806,13827,42.63814477337609,27.03648664502757
70364,la,31221,9080,2419,26.6,7406,81.6,7434,81.9,7461,82.2,4987,206.2,G70364,2014-2018,ZCTA5 70364,23959,5133,76.74001473367285,16.440857115403094
60638,il,58797,21023,0,0,4960,23.6,4967,23.6,4974,23.7,4960,Inf,G60638,2014-2018,ZCTA5 60638,42585,1877,72.42716465125771,3.1923397452250963
92253,ca,40368,27150,82,0.3,5033,18.5,5038,18.6,5043,18.6,4951,6037.8,G92253,2014-2018,ZCTA5 92253,31941,734,79.12455410225921,1.8182718985334918
95401,ca,38986,11729,119,1,5010,42.7,5196,44.3,5383,45.9,4891,4110.1,G95401,2014-2018,ZCTA5 95401,26945,510,69.11455394244088,1.3081619042733288
95616,ca,52088,11139,1163,10.4,6051,54.3,6134,55.1,6216,55.8,4888,420.3,G95616,2014-2018,ZCTA5 95616,31479,1443,60.43426508984795,2.7703117800645063
92407,ca,69222,17879,292,1.6,5175,28.9,5212,29.2,5249,29.4,4883,1672.3,G92407,2014-2018,ZCTA5 92407,44056,7772,63.64450608188148,11.227644390511687
70461,la,27781,10742,3831,35.7,8691,80.9,9430,87.8,10169,94.7,4860,126.9,G70461,2014-2018,ZCTA5 70461,19497,6207,70.18105899715633,22.342608257442137
77494,tx,114989,44800,525,1.2,5308,11.8,5604,12.5,5900,13.2,4783,911,G77494,2014-2018,ZCTA5 77494,75615,9689,65.7584638530642,8.426023358756055
93637,ca,39381,12800,1808,14.1,6580,51.4,6992,54.6,7404,57.8,4772,263.9,G93637,2014-2018,ZCTA5 93637,27144,1372,68.92663975013332,3.4839135623777966
98926,wa,33572,16904,799,4.7,5496,32.5,5571,33,5646,33.4,4697,587.9,G98926,2014-2018,ZCTA5 98926,29213,367,87.01596568569046,1.093172882163708
94928,ca,44103,11133,42,0.4,4692,42.1,4748,42.6,4803,43.1,4650,11071.4,G94928,2014-2018,ZCTA5 94928,31641,1217,71.7434188150466,2.7594494705575583
32164,fl,45207,29177,137,0.5,4754,16.3,5630,19.3,6507,22.3,4617,3370.1,G32164,2014-2018,ZCTA5 32164,34710,7012,76.78014466786117,15.510872210055965
48234,mi,34156,18245,0,0,4596,25.2,4638,25.4,4681,25.7,4596,Inf,G48234,2014-2018,ZCTA5 48234,1412,31955,4.133973533200609,93.55603700667525
78411,tx,25999,10336,3,0,4570,44.2,4624,44.7,4679,45.3,4567,152233.3,G78411,2014-2018,ZCTA5 78411,23435,1150,90.13808223393207,4.423247047963383
33334,fl,29478,8152,1917,23.5,6466,79.3,7062,86.6,7659,94,4549,237.3,G33334,2014-2018,ZCTA5 33334,21768,4083,73.84490128231224,13.851007531040098
31410,ga,24445,10363,4138,39.9,8654,83.5,9376,90.5,10097,97.4,4516,109.1,G31410,2014-2018,ZCTA5 31410,21641,637,88.52935160564533,2.605849867048476
78539,tx,35321,12331,374,3,4884,39.6,4949,40.1,5014,40.7,4510,1205.9,G78539,2014-2018,ZCTA5 78539,30942,729,87.60227626624388,2.063927974859149
37343,tn,41655,18555,934,5,5432,29.3,5485,29.6,5538,29.8,4498,481.6,G37343,2014-2018,ZCTA5 37343,37333,2174,89.62429480254471,5.219061337174409
77630,tx,29026,16003,4873,30.5,9329,58.3,10073,62.9,10817,67.6,4456,91.4,G77630,2014-2018,ZCTA5 77630,21849,6116,75.27389237235582,21.070764142492937
93725,ca,26980,7471,63,0.8,4504,60.3,4540,60.8,4575,61.2,4441,7049.2,G93725,2014-2018,ZCTA5 93725,13757,1114,50.98962194217939,4.128984432913269
43701,oh,55595,34030,520,1.5,4951,14.5,4988,14.7,5024,14.8,4431,852.1,G43701,2014-2018,ZCTA5 43701,49774,2461,89.52963395988849,4.4266570734778306
77478,tx,25277,11631,91,0.8,4497,38.7,4540,39,4583,39.4,4406,4841.8,G77478,2014-2018,ZCTA5 77478,14663,1416,58.00925742770107,5.601930608853899
92264,ca,19881,15913,559,3.5,4952,31.1,4994,31.4,5037,31.7,4393,785.9,G92264,2014-2018,ZCTA5 92264,16999,305,85.50374729641366,1.5341280619687139
33954,fl,9294,13096,318,2.4,4696,35.9,6530,49.9,8364,63.9,4378,1376.7,G33954,2014-2018,ZCTA5 33954,7863,988,84.60296965784377,10.630514310307726
60621,il,29042,13973,0,0,4351,31.1,4458,31.9,4565,32.7,4351,Inf,G60621,2014-2018,ZCTA5 60621,748,27522,2.575580194201501,94.76620067488464
33313,fl,62405,11909,779,6.5,5077,42.6,5314,44.6,5550,46.6,4298,551.7,G33313,2014-2018,ZCTA5 33313,9871,49422,15.817642817081964,79.19557727746174
