zipcode,state,total_properties,fema_properties_at_risk_2020_total,fema_properties_at_risk_2020_pct,fs_properties_at_risk_2020_total,fs_properties_at_risk_2020_pct,fs_properties_at_risk_2035_total,fs_properties_at_risk_2035_pct,fs_properties_at_risk_2050_total,fs_properties_at_risk_2050_pct,fs_fema_difference_2020_total,fs_fema_difference_2020_pct,gisjoin,year,name_e
35601,al,14960,871,5.8,4583,30.6,4634,31,4684,31.3,3712,426.2,G35601,2014-2018,ZCTA5 35601
35901,al,14760,869,5.9,3788,25.7,3808,25.8,3829,25.9,2919,335.9,G35901,2014-2018,ZCTA5 35901
35769,al,6668,174,2.6,2257,33.8,2272,34.1,2287,34.3,2083,1197.1,G35769,2014-2018,ZCTA5 35769
36604,al,5128,163,3.2,2169,42.3,2354,45.9,2539,49.5,2006,1230.7,G36604,2014-2018,ZCTA5 36604
36605,al,12639,3338,26.4,5329,42.2,5662,44.8,5996,47.4,1991,59.6,G36605,2014-2018,ZCTA5 36605
35906,al,6582,472,7.2,2258,34.3,2269,34.5,2280,34.6,1786,378.4,G35906,2014-2018,ZCTA5 35906
36703,al,7420,2354,31.7,3335,44.9,3769,50.8,4203,56.6,981,41.7,G36703,2014-2018,ZCTA5 36703
35143,al,2839,29,1,961,33.8,970,34.2,980,34.5,932,3213.8,G35143,2014-2018,ZCTA5 35143
36603,al,3742,1341,35.8,2240,59.9,2446,65.4,2653,70.9,899,67,G36603,2014-2018,ZCTA5 36603
35772,al,3987,567,14.2,1448,36.3,1456,36.5,1463,36.7,881,155.4,G35772,2014-2018,ZCTA5 35772
36861,al,3236,146,4.5,909,28.1,921,28.5,933,28.8,763,522.6,G36861,2014-2018,ZCTA5 36861
36602,al,1033,333,32.2,1032,99.9,1032,99.9,1033,100,699,209.9,G36602,2014-2018,ZCTA5 36602
35044,al,5029,813,16.2,1447,28.8,1478,29.4,1509,30,634,78,G35044,2014-2018,ZCTA5 35044
36607,al,3059,379,12.4,1007,32.9,1079,35.3,1151,37.6,628,165.7,G36607,2014-2018,ZCTA5 36607
36080,al,2357,110,4.7,682,28.9,686,29.1,689,29.2,572,520,G36080,2014-2018,ZCTA5 36080
35752,al,2016,214,10.6,718,35.6,724,35.9,729,36.2,504,235.5,G35752,2014-2018,ZCTA5 35752
35755,al,1086,67,6.2,551,50.7,554,51,558,51.4,484,722.4,G35755,2014-2018,ZCTA5 35755
35130,al,3271,440,13.5,916,28,925,28.3,934,28.6,476,108.2,G35130,2014-2018,ZCTA5 35130
36528,al,3482,2671,76.7,3058,87.8,3064,88,3069,88.1,387,14.5,G36528,2014-2018,ZCTA5 36528
35959,al,7868,2511,31.9,2743,34.9,2743,34.9,2743,34.9,232,9.2,G35959,2014-2018,ZCTA5 35959
36525,al,1742,334,19.2,480,27.6,609,35,738,42.4,146,43.7,G36525,2014-2018,ZCTA5 36525
36509,al,1612,1318,81.8,1327,82.3,1339,83.1,1351,83.8,9,0.7,G36509,2014-2018,ZCTA5 36509
36752,al,2966,1235,41.6,1033,34.8,1054,35.5,1074,36.2,-202,-16.4,G36752,2014-2018,ZCTA5 36752
36523,al,4269,3016,70.6,2647,62,2752,64.5,2857,66.9,-369,-12.2,G36523,2014-2018,ZCTA5 36523
36542,al,14262,7118,49.9,5903,41.4,6288,44.1,6672,46.8,-1215,-17.1,G36542,2014-2018,ZCTA5 36542
36561,al,8160,4061,49.8,2846,34.9,3138,38.5,3431,42,-1215,-29.9,G36561,2014-2018,ZCTA5 36561
71913,ar,27086,1742,6.4,7262,26.8,7272,26.8,7283,26.9,5520,316.9,G71913,2014-2018,ZCTA5 71913
72117,ar,8371,1710,20.4,3381,40.4,3404,40.7,3427,40.9,1671,97.7,G72117,2014-2018,ZCTA5 72117
71968,ar,3796,416,11,1176,31,1176,31,1177,31,760,182.7,G71968,2014-2018,ZCTA5 71968
72114,ar,6973,1130,16.2,1809,25.9,1837,26.3,1865,26.7,679,60.1,G72114,2014-2018,ZCTA5 72114
71652,ar,1582,23,1.5,456,28.8,456,28.8,457,28.9,433,1882.6,G71652,2014-2018,ZCTA5 71652
72658,ar,1968,416,21.1,547,27.8,547,27.8,547,27.8,131,31.5,G72658,2014-2018,ZCTA5 72658
72476,ar,2261,725,32.1,705,31.2,712,31.5,719,31.8,-20,-2.8,G72476,2014-2018,ZCTA5 72476
72342,ar,3779,1081,28.6,1023,27.1,1036,27.4,1049,27.8,-58,-5.4,G72342,2014-2018,ZCTA5 72342
85344,az,4950,705,14.2,1612,32.6,1610,32.5,1609,32.5,907,128.7,G85344,2014-2018,ZCTA5 85344
85539,az,2816,645,22.9,895,31.8,894,31.7,894,31.7,250,38.8,G85539,2014-2018,ZCTA5 85539
85624,az,1713,623,36.4,572,33.4,570,33.3,568,33.2,-51,-8.2,G85624,2014-2018,ZCTA5 85624
93635,ca,15047,361,2.4,10935,72.7,10991,73,11047,73.4,10574,2929.1,G93635,2014-2018,ZCTA5 93635
92262,ca,16105,129,0.8,7586,47.1,7610,47.3,7635,47.4,7457,5780.6,G92262,2014-2018,ZCTA5 92262
95380,ca,11424,17,0.1,6715,58.8,7001,61.3,7287,63.8,6698,39400,G95380,2014-2018,ZCTA5 95380
93726,ca,9669,35,0.4,6351,65.7,6470,66.9,6589,68.1,6316,18045.7,G93726,2014-2018,ZCTA5 93726
95350,ca,17346,5,0,5646,32.5,5844,33.7,6041,34.8,5641,112820,G95350,2014-2018,ZCTA5 95350
93257,ca,22720,1251,5.5,6773,29.8,6970,30.7,7166,31.5,5522,441.4,G93257,2014-2018,ZCTA5 93257
95355,ca,17490,25,0.1,5538,31.7,5586,31.9,5635,32.2,5513,22052,G95355,2014-2018,ZCTA5 95355
95382,ca,11151,0,0,5408,48.5,5638,50.6,5869,52.6,5408,Inf,G95382,2014-2018,ZCTA5 95382
95401,ca,11729,119,1,5010,42.7,5196,44.3,5383,45.9,4891,4110.1,G95401,2014-2018,ZCTA5 95401
